Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56920684,The Anomaly,Hervé Le Tellier,"Tellier, Hervé Le",Adriana Hunter,"=""1635421691""","=""9781635421699""",2.0,Other Press,Paperback,391,2021,2020,2022/06/23,2022/06/23,,,read,,,,1,0
59421817,Tøyeneffekten,Bjarte Breiteig,"Breiteig, Bjarte",,"=""8249523954""","=""9788249523955""",5.0,Forlaget Oktober AS,Hardcover,330,2021,2021,2022/06/15,2022/06/14,,,read,,,,1,0
9938997,Ekkoland,Per Petterson,"Petterson, Per",,"=""8249505859""","=""9788249505852""",3.0,Oktober,Paperback,139,2008,1989,2022/06/14,2022/06/14,,,read,,,,1,0
9060123,"Aske i munnen, sand i skoa",Per Petterson,"Petterson, Per",,"=""8249502515""","=""9788249502516""",4.0,Oktober,Paperback,125,2004,1987,2022/06/14,2022/06/14,,,read,,,,1,0
25250478,Hvis du vil,Helle Helle,"Helle, Helle",Trude Marstein,"=""8249514963""","=""9788249514960""",3.0,Forlaget Oktober,Hardcover,141,2015,2014,2022/06/13,2022/06/13,,,read,,,,1,0
59075859,"Jente, 1983",Linn Ullmann,"Ullmann, Linn",,"=""8249519795""","=""9788249519798""",4.0,Forlaget Oktober,Hardcover,260,2021,2021,2022/06/12,2022/06/11,,,read,,,,1,0
43375844,Krig og fred. 1,Leo Tolstoy,"Tolstoy, Leo","Lev Tolstoj, Erik Krag","=""8205270228""","=""9788205270220""",5.0,Gyldendal,Paperback,292,2000,1867,2022/03/01,2022/06/11,,,read,,,,1,0
1723987,Kjærlighet i koleraens tid,Gabriel García Márquez,"Márquez, Gabriel García","Kjell Risvik, John le Carré","=""8252545858""","=""9788252545852""",5.0,De norske bokklubbene ,,327,2004,1985,2022/06/11,2022/06/06,,,read,,,,1,0
60277684,Etterliv,Abdulrazak Gurnah,"Gurnah, Abdulrazak",Tone Formo,"=""""","=""9788205566897""",4.0,Gyldendal,Hardcover,322,2022,2020,2022/06/05,2022/05/26,,,read,,,,1,0
58619332,Forklaringen,Gaute Heivoll,"Heivoll, Gaute",,"=""821005838X""","=""9788210058387""",3.0,Tiden Norsk Forlag,Hardcover,271,2021,,2022/05/01,2022/05/17,,,read,,,,1,0
58451313,The Twyford Code,Janice Hallett,"Hallett, Janice",,"=""1788165322""","=""9781788165327""",3.0,Viper,Paperback,384,2022,2022,2022/01/01,2022/05/17,,,read,,,,1,0
3832,"Cover Her Face (Adam Dalgliesh, #1)",P.D. James,"James, P.D.",,"=""0743219570""","=""9780743219570""",3.0,Scribner,Paperback,250,2001,1962,2022/02/01,2022/05/17,,,read,,,,1,0
16054355,Jeg nekter,Per Petterson,"Petterson, Per",,"=""8249510569""","=""9788249510566""",4.0,Forlaget Oktober,Hardcover,295,2012,2012,2022/03/07,2022/05/17,,,read,,,,1,0
60552020,tilintetgjøre,Michel Houellebecq,"Houellebecq, Michel",,"=""""","=""9788202749538""",2.0,Cappelen Damm,Hardcover,688,2022,2022,2022/04/01,2022/05/17,,,read,,,,1,0
24083672,Slåttekar i himmelen,Edvard Hoem,"Hoem, Edvard",,"=""""","=""9788249514847""",4.0,Forlaget Oktober,Hardcover,351,2014,2014,2022/05/22,2022/05/17,,,read,,,,1,0
36434462,Den svovelgule himmelen,Kjell Westö,"Westö, Kjell",,"=""8253039573""","=""9788253039572""",4.0,Pax,Hardcover,459,2017,2017,2022/05/10,2022/05/17,,,read,,,,1,0
24077,Crabwalk: A Powerful Historical Family Saga of the Deadliest Maritime Disaster and Its Legacy,Günter Grass,"Grass, Günter","Krishna Winston, Per Øhrgaard, Tobias May Hertz","=""0156029707""","=""9780156029704""",4.0,HarperVia,Paperback,237,2004,2002,2022/05/06,2022/05/17,,,read,,,,1,0
55369995,Felemakaren,Edvard Hoem,"Hoem, Edvard",,"=""""","=""""",5.0,Forlaget Oktober,Hardcover,350,2020,2020,2022/04/13,2022/05/17,,,read,,,,1,0
59527165,The Appeal (The Appeal #1),Janice Hallett,"Hallett, Janice",,"=""""","=""""",0,Viper,Kindle Edition,432,2021,2021,2021/01/01,2022/05/17,,,read,,,,1,0
2608569,Like sant som jeg er virkelig,Hanne Ørstavik,"Ørstavik, Hanne",,"=""8270948543""","=""9788270948543""",4.0,Forlaget Oktober ,Hardcover,148,1999,1999,,2012/06/23,,,read,,,,1,0
3310154,Art History: The Basics,Diana Newall,"Newall, Diana",Grant Pooke,"=""0415373085""","=""9780415373081""",4.0,Routledge,Paperback,288,2007,2000,,2015/08/05,,,read,,,,1,0
222078,The Story of Art,E.H. Gombrich,"Gombrich, E.H.",,"=""071483355X""","=""9780714833552""",4.0,Phaidon Press LTD,Hardcover,688,1967,1950,,2015/08/05,,,read,,,,1,0
18404522,Fugletribunalet,Agnes Ravatn,"Ravatn, Agnes",,"=""8252183239""","=""9788252183238""",4.0,Samlaget,Hardcover,208,2013,2013,,2015/07/06,,,read,,,,1,0
192376,Dimanches d'août,Patrick Modiano,"Modiano, Patrick",,"=""2070381307""","=""9782070381302""",3.0,French and European Publications Inc,Paperback,186,1989,1986,,2015/07/06,,,read,,,,1,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",4.0,New York Review Books,Paperback,292,2006,1965,,2015/07/06,,,read,,,,1,0
7433149,I Curse the River of Time,Per Petterson,"Petterson, Per",Charlotte Barslund,"=""1555975569""","=""9781555975562""",3.0,Graywolf Press,Hardcover,233,2010,2008,,2015/07/06,,,read,,,,0,0
10503,The Mysterious Flame of Queen Loana,Umberto Eco,"Eco, Umberto",Geoffrey Brock,"=""0156030438""","=""9780156030434""",3.0,Harcourt,Paperback,469,2006,2004,,2015/07/06,,,read,,,,1,0
24235201,Numero zero,Umberto Eco,"Eco, Umberto",,"=""8858769562""","=""9788858769560""",3.0,Bompiani,Kindle Edition,224,2015,2015,,2015/07/06,,,read,,,,1,0
398323,Out Stealing Horses,Per Petterson,"Petterson, Per",Anne Born,"=""""","=""""",4.0,Graywolf Press,Hardcover,258,2007,2003,,2014/12/07,,,read,,,,1,0
13556304,Dager i stillhetens historie,Merethe Lindstrøm,"Lindstrøm, Merethe",,"=""8203197213""","=""9788203197215""",5.0,Aschehoug,Hardcover,224,2011,2011,,2012/05/17,,,read,,,,1,0
629429,The World of Yesterday,Stefan Zweig,"Zweig, Stefan",Harry Zohn,"=""0803252242""","=""9780803252240""",5.0,University of Nebraska Press,Paperback,455,1964,1942,,2014/08/05,,,read,,,,1,0
808477,"He Who Whispers (Dr. Gideon Fell, #16)",John Dickson Carr,"Carr, John Dickson",,"=""0930330382""","=""9780930330385""",4.0,Intl Polygonics Ltd,Paperback,165,1986,1946,,2014/04/20,,,read,,,,1,0
12917124,Dark Pools: The Rise of the Machine Traders and the Rigging of the U.S. Stock Market,Scott Patterson,"Patterson, Scott",,"=""0307887170""","=""9780307887177""",4.0,Crown Business,Hardcover,368,2012,2012,,2014/03/02,,,read,,,,1,0
17912916,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,Foster Provost,"Provost, Foster",Tom Fawcett,"=""1449361323""","=""9781449361327""",5.0,O'Reilly Media,Paperback,413,2013,2013,,2013/11/02,,,read,,,,1,0
17346997,Doing Data Science: Straight Talk from the Frontline,Cathy O'Neil,"O'Neil, Cathy",Rachel Schutt,"=""1449358659""","=""9781449358655""",4.0,O'Reilly Media,Paperback,405,2013,2013,,2013/11/02,,,read,,,,1,0
11157352,Crossbones (Past Imperfect Trilogy),Nuruddin Farah,"Farah, Nuruddin",,"=""1594488169""","=""9781594488160""",3.0,Riverhead Books,Hardcover,400,2011,2011,,2013/08/25,,,read,,,,1,0
74827,Links,Nuruddin Farah,"Farah, Nuruddin",,"=""0143034847""","=""9780143034841""",3.0,Penguin Group USA,Paperback,352,2005,2003,,2013/07/18,,,read,,,,1,0
12175637,"The Crowded Grave (Bruno, Chief of Police, #4)",Martin  Walker,"Walker, Martin",,"=""1849163219""","=""9781849163217""",3.0,Quercus,Hardcover,320,2011,2011,,2013/07/16,,,read,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",4.0,Knopf Publishing Group,Hardcover,188,2008,2007,,2013/07/14,,,read,,,,1,0
8544591,"Black Diamond (Bruno, Chief of Police, #3)",Martin  Walker,"Walker, Martin",,"=""1849161216""","=""9781849161213""",2.0,Quercus Publishing Plc,ebook,320,2010,2010,,2013/07/11,,,read,,,,1,0
6665040,"The Dark Vineyard (Bruno, Chief of Police, #2)",Martin  Walker,"Walker, Martin",,"=""1847249159""","=""9781847249159""",3.0,Quercus,Hardcover,309,2009,2009,,2013/07/05,,,read,,,,1,0
414530,Nightfall in Mogadishu,Veronica Li,"Li, Veronica",,"=""1588202518""","=""9781588202512""",3.0,1st Book Library,Paperback,288,2000,2000,,2013/06/21,,,read,,,,1,0
15715512,"Kun kyyhkyset katosivat (Kvartetti, #3)",Sofi Oksanen,"Oksanen, Sofi",,"=""9520107819""","=""9789520107819""",3.0,Like,Hardcover,366,2012,2012,,2013/05/19,,,read,,,,1,0
17826227,Fyrsten,Henrik H. Langeland,"Langeland, Henrik H.",,"=""8210052969""","=""9788210052965""",3.0,Tiden,Hardcover,429,2013,2013,,2013/05/12,,,read,,,,1,0
8442457,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",4.0,Weidenfeld & Nicolson,Hardcover,399,2012,2012,2013/04/11,2013/04/11,,,read,,,,1,0
16289948,Digital Disruption: Unleashing the Next Wave of Innovation,James McQuivey,"McQuivey, James",,"=""1477800123""","=""9781477800126""",4.0,Amazon Publishing,Hardcover,171,2013,2012,,2013/03/29,,,read,,,,1,0
6478768,When China Rules the World: The End of the Western World and the Birth of a New Global Order,Martin Jacques,"Jacques, Martin",,"=""1594201854""","=""9781594201851""",4.0,Penguin Press,Hardcover,778,2009,2008,,2013/03/23,,,read,,,,1,0
4100352,The Arabs: A History,Eugene Rogan,"Rogan, Eugene",,"=""0465071007""","=""9780465071005""",5.0,Basic Books,Hardcover,513,2009,2009,2013/01/06,2013/01/06,,,read,,,,1,0
16054245,Maos rike: En lidelseshistorie,Torbjørn Færøvik,"Færøvik, Torbjørn",,"=""8202337828""","=""9788202337827""",4.0,Cappelen Damm,Hardcover,640,2012,2012,,2012/12/20,,,read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",4.0,Time Warner Book Group,Paperback,301,2002,2000,,2012/11/04,,,read,,,,1,0
2289512,A Blessed Child,Linn Ullmann,"Ullmann, Linn",Sarah Death,"=""0307265471""","=""9780307265470""",3.0,Knopf,Hardcover,320,2008,2005,,2012/08/26,,,read,,,,1,0
13416816,Det dyrebare,Linn Ullmann,"Ullmann, Linn",,"=""8249505395""","=""9788249505395""",5.0,Forlaget Oktober,Hardcover,389,2011,2011,,2012/08/08,,,read,,,,1,0
