Title,Author,Publisher
The Boy from the Woods,Harlan Coben,
"The Bullet That Missed (Thursday Murder Club, Book 3)",Richard Osman,
"The Burning Room (Harry Bosch, Book 17)",Michael Connelly,
The Cartel,Don Winslow,
The Casual Vacancy,J. K. Rowling,
The Circle,Dave Eggers,
The Complete Father Brown Mysteries,G. K. Chesterton,
The Complete Sherlock Holmes,Arthur Conan Doyle,
"The Confessor (Gabriel Allon, Book 3)",Daniel Silva,
The Crossing (Harry Bosch),Michael Connelly,
"The Crowded Grave (The Dordogne Mysteries, Book 4)",Martin Walker,
"The Cuckoo's Calling (Cormoran Strike, Book 1)",Robert Galbraith,
"The Devil's Cave (The Dordogne Mysteries, Book 5)",Martin Walker,
"The Dragon Man (Challis & Destry, Book 1)",Garry Disher,
The Dry,Jane Harper,
"The Dying Season (The Dordogne Mysteries, Book 8)",Martin Walker,
"The English Assassin (Gabriel Allon, Book 2)",Daniel Silva,
The Enigma of Room 622,Joël Dicker,
The Farm,Tom Rob Smith,
The Fourth Protocol,Frederick Forsyth,
The Great Gatsby,F. Scott Fitzgerald,
The Guest List,Lucy Foley,
"The Honjin Murders (Detective Kindaichi, Book 1)",Seishi Yokomizo,
"The Kill Artist (Gabriel Allon, Book 1)",Daniel Silva,
The Killer Question,Janice Hallett,
"The Late Show (Renée Ballard, Book 1)",Michael Connelly,
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,
The Lover,Marguerite Duras,Harper Perennial
"The Man Who Died Twice (Thursday Murder Club, Book 2)",Richard Osman,
The Marlow Murder Club (Book 1),Robert Thorogood,
The Moonstone,Wilkie Collins,
"The Murder of Roger Ackroyd (Hercule Poirot, Book 4)",Agatha Christie,
The Murders at Fleat House,Lucinda Riley,
The Night Fire (Ballard & Bosch),Michael Connelly,
The Odyssey,Homer,
The Palace of Dreams,Ismail Kadare,Vintage Classics
The Passenger,Cormac McCarthy,
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win","Gene Kim, Kevin Behr & George Spafford",
The Pickwick Papers,Charles Dickens,
"The Poet (Jack McEvoy, Book 1)",Michael Connelly,
The Power of the Dog,Don Winslow,
The President Is Missing,Bill Clinton & James Patterson,
"The Queen of Poisons (The Marlow Murder Club, Book 3)",Robert Thorogood,
"The Resistance Man (The Dordogne Mysteries, Book 6)",Martin Walker,
"The Scarecrow (Jack McEvoy, Book 2)",Michael Connelly,
"The Shadow of the Wind (The Cemetery of Forgotten Books, Book 1)",Carlos Ruiz Zafón,
"The Short Drop (Gibson Vaughn, Book 1)",Matthew FitzSimmons,
The Silent Patient,Alex Michaelides,
"The Spy Who Came in from the Cold (George Smiley, Book 3)",John le Carré,
The Stone Raft,José Saramago,
The Stranger,Albert Camus,
The Thursday Murder Club (Book 1),Richard Osman,
The Traitor's Story,Kevin Wignall,
The Truth About the Harry Quebert Affair,Joël Dicker,
The Twyford Code,Janice Hallett,
The Waiting (Ballard & Bosch),Michael Connelly,
